Date,Order_dir,Quantity,Price
02/02/2017,SELL,1,273.300000
03/02/2017,SELL,1,277.550000
06/02/2017,SELL,1,277.050000
27/02/2017,BUY,1,268.250000
28/02/2017,BUY,1,269.200000
03/03/2017,BUY,1,265.050000
29/03/2017,SELL,1,288.450000
30/03/2017,SELL,1,291.050000
31/03/2017,SELL,1,293.400000
29/06/2017,BUY,1,272.450000
18/07/2017,SELL,1,291.000000
21/08/2017,BUY,1,274.650000
22/08/2017,BUY,1,273.900000
23/08/2017,BUY,1,279.000000
28/08/2017,BUY,1,279.350000
29/08/2017,BUY,1,277.000000
30/08/2017,BUY,1,276.600000
25/10/2017,SELL,1,324.900000
26/10/2017,SELL,1,320.500000
27/10/2017,SELL,1,311.050000
30/10/2017,SELL,1,312.000000
31/10/2017,SELL,1,305.800000
01/11/2017,SELL,1,319.850000
15/12/2017,BUY,1,312.250000
09/01/2018,BUY,1,304.300000
10/01/2018,BUY,1,301.100000
12/01/2018,BUY,1,302.250000
15/01/2018,BUY,1,302.600000
16/01/2018,BUY,1,296.150000
24/05/2018,SELL,1,268.500000
06/06/2018,SELL,1,270.150000
07/06/2018,SELL,1,269.650000
08/06/2018,SELL,1,273.000000
02/07/2018,BUY,1,258.850000
03/07/2018,BUY,1,257.500000
04/07/2018,BUY,1,257.450000
05/07/2018,BUY,1,256.450000
26/07/2018,SELL,1,287.700000
27/07/2018,SELL,1,286.750000
30/07/2018,SELL,1,297.400000
31/07/2018,SELL,1,293.500000
01/08/2018,SELL,1,295.100000
02/08/2018,SELL,1,293.900000
10/09/2018,BUY,1,284.850000
11/09/2018,BUY,1,282.600000
17/09/2018,BUY,1,285.300000
18/09/2018,BUY,1,273.800000
19/09/2018,BUY,1,271.500000
21/09/2018,BUY,1,270.600000
05/11/2018,SELL,1,294.950000
15/11/2018,SELL,1,285.400000
16/11/2018,SELL,1,290.900000
27/12/2018,SELL,1,292.150000
28/12/2018,SELL,1,294.800000
31/12/2018,SELL,1,295.900000
28/01/2019,BUY,1,281.600000
29/01/2019,BUY,1,280.600000
30/01/2019,BUY,1,287.450000
21/02/2019,BUY,1,268.000000
27/02/2019,BUY,1,267.650000
28/02/2019,BUY,1,269.050000
11/03/2019,SELL,1,287.350000
12/03/2019,SELL,1,286.900000
13/03/2019,SELL,1,293.150000
